001,245$a,500,538,007$00,336,337,338,245$h,008$31
"997922220102311","Builders of images","Title on container: Builders of images: Latin American cultural identity.;In English, Spanish and Portuguese, with English subtitles and voiceovers.;VHS format.",,"v",,,,"[videorecording] /","\"
"997794690102311","Roberta Peters in opera and song","VHS hi-fi.;Title from cassette label and container.;Production coordinator, Allan Altman.;Videocassette release of the original kinescope masters preserved in the archives of New England Conservatory, Boston, Mass.;69115",,"v",,,,"[videorecording] /","\"
"997803020102311","Motherlove","VHS format.;""This film was made at the Carpenter Center for the Visual Arts, Harvard University.""",,"v",,,,"[videorecording] /","\"
"997884100102311","The Child's singing voice","VHS format.",,"v",,,,"[videorecording] /","\"
"997864020102311","Behavioral interviewing with couples","VHS format.",,"v",,,,"[videorecording] /","\"
"997807470102311","Manon","Title from container: Massenet's Manon.;Opera, sung in French with English subtitles.;Libretto by Henri Meilhac and Philippe Gille.;12701.",,"v",,,,"[videorecording] /","\"
"997832000102311","Sounding brass","VHS format.",,"v",,,,"[videorecording] /","\"
"997922190102311","Mirrors of the heart","Title on container: Mirrors of the heart: race and identity.;In English and Spanish, with English subtitles and voiceovers.;VHS format.",,"v",,,,"[videorecording] /","\"
"997858870102311","Robert Merrill in opera and song","VHS hi-fi.;Title from cassette label and container.;Videocassette release of the original kinescope masters preserved in the archives of New England Conservatory, Boston, Mass.;69116",,"v",,,,"[videorecording] /","\"
"997926520102311","They don't wear black tie","VHS format.;Videocassette release of 1983 motion picture released by Embrafilme.;In Portugese ; English subtitles.",,"v",,,,"[videorecording]","\"
"997859070102311","Eleanor Steber in opera and song","VHS (69102)",,"v",,,,"[videorecording]","\"
"997926020102311","TV newsroom : news gathering",,,"v",,,,"[videorecording] /","\"
"998039250102311","Paul Soldner","VHS format.",,"v",,,,"[videorecording] :","\"
"997923300102311","Mind of a serial killer","Broadcast on PBS as a segment of: Nova.;""The WGBH collection."";Closed captioned for the hearing impaired.","VHS format.","v",,,,"[videorecording] /","\"
"997743660102311","The love poems of John Donne.","Copied from U-matic.","DVD.","v",,,,"[videorecording] /","\"
"997807490102311","I live for art","VHS format.;""1150.""",,"v",,,,"[videorecording] :","\"
"997884010102311","Dorothy Kirsten in opera and song","Videocassette release of two original kinescope masters from the archives of New England Conservatory of Music.;Title from container.","VHS format.","v",,,,"[videorecording] /","\"
"997884050102311","George Frideric Handel","Title from container.",,"v",,,,"[videorecording] :","\"
"997807180102311","Integrating the arts","Title on cassette label and container: Intergrating [sic] arts.;1263-0014.","VHS-Standard play.","v",,,,"[videorecording] /","\"
"997923360102311","Sensei","VHS format.",,"v",,,,"[videorecording] :","\"
"997790590102311","The Improvisor's guide to transcription","""CMS-002""--Container.","VHS format.","v",,,,"[videorecording] /","\"
"997831890102311","Saturday night, Sunday morning",,"VHS format.","v",,,,"[videorecording] :","\"
"997922240102311","Fire in the mind","Title on container: Fire in the mind: revolutions and revolutionaries.;In English and Spanish, with English subtitles and voiceovers.;VHS format.",,"v",,,,"[videorecording] /","\"
"997884030102311","Fryderyk Franciszek Chopin","Title on container: In the steps of Chopin : a portrait / by Byron Janis.;""FFH 898.""",,"v",,,,"[videorecording]","\"
"997857230102311","Helen Traubel in opera and song","Videocassette release of two original kinescope masters from the archives of New England Conservatory of Music.;Title from container.","VHS format.","v",,,,"[videorecording] /","\"
"997790400102311","Early music education with Suzuki","Title taken from container.;Date taken from container.;Date varies: tape, c1980.;VHS format.",,"v",,,,"[videorecording] /","\"
"997881230102311","Johann Sebastian Bach","Cataloged from contributor's data.;VHS format.;""FFH 992.""",,"v",,,,"[videorecording] :","\"
"997864880102311","Japanese pilgrimage",,,"v",,,,"[videorecording] :","\"
"997877010102311","L'incoronazione di Poppea","VHS.;Opera in three acts.;In Italian with English subtitles.;Based on a performance of the Zurich Opera House.;""A UNITEL production."";Edition performed by Nikolaus Harnoncourt.;Program notes and synopsis of the plot in English ([5] p.). inserted in container.;London 071 506-3;UPC 4400715063",,"v",,,,"[videorecording] /","\"
"997861790102311","Suzuki-Starr videotapes","VHS format.;Also includes 2 copies in UT Archives on videoreels.",,"v",,,,"[videorecording] /","\"
"998040780102311","Jean-Michel Basquiat (1960-1988)","VHS format.",,"v",,,,"[videorecording] /","\"
"997884070102311","Computer programs for writing music","VHS format.",,"v",,,,"[videorecording] /","\"
"997858490102311","Eleanor Steber in opera and song, vol. 2","VHS (69112)",,"v",,,,"[videorecording]","\"
"997884080102311","Electronic music devices","VHS format.",,"v",,,,"[videorecording] :","\"
"997922170102311","Capital sins","Title on container: Capital sins: authoritarianism and democratization.;In English and Portuguese, with English subtitles and voiceovers.;VHS format.",,"v",,,,"[videorecording] /","\"
"997861600102311","The First charge of the machete","VHS format.;Title on container: La primera carga al machete.;Spanish dialogue, English subtitles.;Originally produced as motion picture in 1969.",,"v",,,,"[videorecording] /","\"
"997899520102311","John Adams, minimalism and beyond","Film originally made in 1988?","VHS format.","v",,,,"[videorecording] /","\"
"997880780102311","The Sleeping child",,,"m",,,,"[motion picture] /","\"
"997840300102311","StrataSphere","A Canadian Broadcasting Corporation film production released in 1983.;VHS format.;Hi-fi.;""1254.""",,"v",,,,"[videorecording]","\"
"997812090102311","World Food Day","Shipping list no.: 92-0577-P.;""October 16, 1992.""",,"k",,,,"[picture] :","\"
"997922210102311","Miracles are not enough","Title on container: Miracles are not enough: continuity and change in religion.;In English, Spanish and Portuguese, with English subtitles and voiceovers.;VHS format.",,"v",,,,"[videorecording] /","\"
"997805230102311","Brazil","VHS format.",,"v",,,,"[videorecording] :","\"
"997884090102311","Piano labs in music education","VHS format.",,"v",,,,"[videorecording] /","\"
"997881240102311","Doing business internationally :","Support materials by Princeton Training Press, a division of Training Management Corporation.",,"v",,,,,"\"
"997999680102311","The Sorceress and the friar","VHS format.;English language version.;Title on container and label: Sorceress.;Videocassette release of the 1988 motion picture.;Original motion picture filmed simultaneously in English and French.",,"v",,,,"[videorecording]","\"
"997880790102311","A Spirit problem",,,"m",,,,"[motion picture] /","\"
"997832470102311","Frank Gehry","VHS format.",,"v",,,,"[videorecording] /","\"
"997824100102311","Arata Isozaki II","VHS format.",,"v",,,,"[videorecording] /","\"
"997807140102311","Planning successful rehearsals","Title on cassette label and container: Sucessful [sic] rehersal [sic].;1263-0015.","VHS-Standard play.","v",,,,"[videorecording] /","\"
"997923550102311","The True Malcolm X speaks","VHS format.",,"v",,,,"[videorecording] /","\"
"997979740102311","The Wild duck","VHS format.",,"v",,,,"[videorecording] /","\"
"997811950102311","Vitamin E for swine","Title of video and guide same.;Author of guide is L.R. McDowell.;Bibliography: guide, pages 7-[8];Also has title: Vitamin E, a crucial link to peak performance.",,"v",,,,"[videorecording]","\"
"997946250102311","Acupuncture points and meridians in the dog","Title from portfolio.",,"k",,,,"[chart] /","\"
"997748100102311","Plato's Apology","VHS format.",,"v",,,,"[videorecording] :","\"
"997824110102311","Richard Meier","VHS format.",,"v",,,,"[videorecording] /","\"
"997824070102311","John Hejduk, builder of worlds","Title on container: Hejduk : builder of worlds.",,"v",,,,"[videorecording] :","\"
"997922180102311","Continent on the move","Title on container: Continent on the move: migration and urbanization.;In English and Spanish, with English subtitles and voiceovers.;VHS format.;Raul Julia, narrator.",,"v",,,,"[videorecording] /","\"
"998034080102311","Skylab and the Sun.",,,"m",,,,"[motion picture] /","\"
"998005240102311","Edible wild plants","Genus species index laid in container.;Container has subtitle: Video field guide to 100 useful wild herbs.",,"v",,,,"[videorecording] /","\"
"997829730102311","Maria Callas Hamburg concert 1959","VHS format.;1155.",,"v",,,,"[videorecording] /","\"
"997791700102311","Anna Moffo in opera and song","VHS hi-fi.;Title from cassette label and container.;Robert Merrill sings Some enchanted evening and accompanies Anna Moffo singing Climb every mountain.;Videocassette release of the original kinescope masters preserved in the archives of New England Conservatory, Boston, Mass.;""69114.""",,"v",,,,"[videorecording] /","\"
"997841970102311","The Magnificent Victoria de los Angeles","VHS Hi-Fi.;Title from cassette label and container.;""69070.""",,"v",,,,"[videorecording] /","\"
"997899500102311","Bach, masterpieces to order","Title on cassette label and container: Johann Sebastian Bach: masterpieces to order.;""FFH 2752""--Labels.",,"v",,,,"[videorecording] :","\"
"997824150102311","Mies","In English and German, with English subtitles.;Subtitle on motion picture: The Architecture of Mies van der Rohe.;VHS format.",,"v",,,,"[videorecording] /","\"
"996519710102311","Geothermal power",,,"m",,,,"[motion picture] :","\"
"996682760102311","Hobson's choice","VHS format.",,"v",,,,"[videorecording] /","\"
"996474480102311","Gifts of time",,,"m",,,,"[motion picture] :","\"
"996805790102311","Fifteen strings of cash","VHS format.;Title from container; title also in Chinese : Shih wu kuan.;Subtitles in Chinese.",,"v",,,,"[videorecording] /","\"
"996887350102311","John Scofield on improvisation","VHS format.",,"v",,,,"[videorecording] /","\"
"996507830102311","Addition and subtraction of fractions.","""The skills group."";Also issued with sound accompaniment on disc.",,"g",,,,"[slide] /","\"
"996889370102311","Count Basie and his orchestra 1964 ; Lionel Hampton and his orchestra 1965 ; Duke Ellington and his famous orchestra 1965","VHS format.;Title on container: The big bands.",,"v",,,,"[videorecording] /","\"
"996791810102311","Bibliografiia obshchestvenno-politicheskoi literatury",,,,,,,,"0"
"996512300102311","Blood collection from superficial veins of rodents and rabbits","With study guide.",,"g",,,,"[slide]","\"
"996466670102311","Stamping ground :","VHS format.",,"v",,,,"[videorecording] /","\"
"996486960102311","Hunger",,,"m",,,,"[motion picture] :","\"
"996497800102311","Treatment of ventricular fibrillation in the dog",,,"v",,,,"[videorecording] :","\"
"996611960102311","Dead birds.","Videocassette copy on 2 cassettes.;Issued in three parts.",,"m",,,,"[motion picture] /","\"
"996888710102311","Greek New Testament manuscripts","In container (29 cm.)",,"g",,,,"[slide] :","\"
"996617620102311","Lilies of the field","VHS format.;""VHS 4726"";Based on the novel ""Lilies of the Field"" by William E. Barrett.;Specially produced with Closed Captioning for the hearing impaired.;Videocassette release of the 1963 motion picture by Rainbow Productions.",,"v",,,,"[videorecording] /","\"
"996728390102311","Gone West","Title from data sheet.;U standard.",,"v",,,,"[videorecording] /","\"
"996495310102311","Guide to orchestral bowings through musical styles",,,"v",,,,"[videorecording] /","\"
"996547740102311","The Time of your life","Based on: How to get control of your time and your life / Alan Lakein.",,"m",,,,"[motion picture] /","\"
"996502270102311","Porosity in carbonate rock sequences","In 2 carousels",,"g",,,,"[slide] /","\"
"996647480102311","Moonlighting /","Videocassette release of the 1982 motion picture.",,"v",,,,"[videorecording]","\"
"996634970102311","Chia","VHS format.;Chinese dialogue with English subtitles.;The Chinese title appears in Chinese characters.;Based on the novel by Pa Chin.;Originally produced as a motion picture in 1956.",,"v",,,,"[videorecording] =","\"
"996499500102311","Shales","In 1 carousel;A 1982-83 Distinguished Lecture.;Sound accompaniment compatible for manual and automatic operation.",,"g",,,,"[slide] :","\"
"996490220102311","International poetry reading","Reproduction from U-matic.","DVD.","v",,,,"[videorecording] :","\"
"996510800102311","Infraorbital bleeding of rodents and rabbits.","With study guide.",,"g",,,,"[slide]","\"
"996888630102311","Variants in the text","Mounted as 21 slides in 1 carousel.",,"g",,,,"[slide] :","\"
"996837240102311","Gnotobiotics in production of experimental animals","Sound cassette, V-6100.;Study guide published in 1977.;""A-T program.""",,"g",,,,"[slide] /","\"
"996507870102311","Handling, restraint and administration of subcutaneous and intramuscular injections for the cat.","With study guide.",,"g",,,,"[slide]","\"
"996836870102311","Anatomy and physiology of a computer",,"U-matic.","v",,,,"[videorecording] /","\"
"996886820102311","The wild beast",,,,,,,,"\"
"996486470102311","Workers newsreel unemployment special, 1931",,,"m",,,,"[motion picture] /","\"
"996601230102311","Meetings, bloody meetings.","With booklet: How to run a meeting.",,"m",,,,"[motion picture]","\"
"996472750102311","The Bridge","VHS format.",,"v",,,,"[videorecording] /","\"
"996681840102311","The atomic cafe","VHS format.",,"v",,,,"[videorecording] /","\"
"996843020102311","Henri Cartier-Bresson: The decisive moment. /","Library's copy has 73 slides.;With teaching guide.",,"g",,,,"[slide]","\"
"996845980102311","Heroides and Amores",,,,,,,,"0"
"996770540102311","Agee","VHS format.",,"v",,,,"[videorecording] /","\"
"996718870102311","To be a man.",,,"m",,,,"[motion picture].","\"
"996509560102311","Fecal sampling for microscopic analysis","With study guide.",,"g",,,,"[slide]","\"
"996704490102311","The Idea of the city.",,,"m",,,,"[videorecording]","\"
"996464740102311","Richard Wagner","VHS format.;Title from container.;""Wagner Ring""",,"v",,,,"[videorecording] :","\"
"996734370102311","American mosaic :","Library has 414 slides in 4 carousels.;Also issued with phonodiscs.;With teacher's guide.;Written by Jerome Ozer.",,"g",,,,,"\"
"996806510102311","Falstaff","Videocassette release of the performance at the Royal Opera House on July 16, 1982.;VHS format.;TVE 2802;Booklet contains libretto in Italian and English.",,"v",,,,"[videorecording] /","\"
"996495320102311","Dealing with difficult people",,,"v",,,,"[videorecording] :","\"
"996762350102311","Cape Cod, the sands of time","Title from data sheet.;Intended audience: General.;Issued as VHS 1/2 in.",,"v",,,,"[videorecording] /","\"
"996507880102311","Factors.","""The skills group."";Also issued with sound accompaniment on disc.",,"g",,,,"[slide] /","\"
"996464720102311","Wagner's Ring.","Opera in 3 acts.;Sung in German ; subtitles in English.;VHS format.;Films for the Humanities: FFH 744.",,"v",,,,"[videorecording]","\"
"996611190102311","The World at war","On spine of case: ""Special collector's series"";Each segment has its own director.",,"v",,,,"[videorecording] /","\"
"996771490102311","Diagnostic ultrasound in veterinary medicine","Illustrated lecture recorded at the University of Tennessee College of Veterinary Medicine, December 1984.","U-matic.","v",,,,"[videorecording] / Thomas Nyland.","\"
"996833540102311","Interior planting",,,"g",,,,"[slide] /","\"
"996585860102311","Nonhuman primates :","Includes bibliographical references.",,"g",,,,"[slide] /","\"
"996507810102311","Introduction to decimal fractions.","""The skills group."";Also issued with sound accompaniment on disc.",,"g",,,,"[slide] /","\"
"996801060102311","Technical and economic research for farmers cooperatives",,,,,,,,"0"
"996512360102311","Administration of anesthetics to rodents","With study guide.",,"g",,,,"[slide]","\"
"996806500102311","Garazh","VHS format.;Released in 1979 as a motion picture.",,"v",,,,"[videorecording] /","\"
"996486450102311","America today, 1932-1934 [and] The World in review",,,"m",,,,"[videorecording] /","\"
"996771480102311","Cross pin and wire fixation of a transverse distal femoral fracture",,"U-matic.","v",,,,"[videorecording] /","\"
"996486950102311","The National hunger march, 1931",,,"m",,,,"[motion picture] /","\"
"996886580102311","Major world religions","Mounted as 451 slides in 6 carousels.;Sound accompaniment compatible for manual and automatic operation.",,"g",,,,"[filmstrip]","\"
"996499640102311","Regional tectonics of the Cordilleran fold and thrust belt","In 2 carousels.;A continuing education course presented at the 1982 AAPG Fall Education Conference.",,"g",,,,"[slide] /","\"
"996744240102311","Cross Creek","VHS format.;""TVA 2184"";Based on Marjorie Kinnan Rawlings memoirs' Cross Creek.;Videocassette release of the 1983 motion picture by Thorn EMI Films.",,"v",,,,"[videorecording] /","\"
"996834120102311","Bowed instruments","VHS format.",,"v",,,,"[videorecording] /","\"
"996776180102311","Crater Lake","Title from data sheet.;Intended audience: Visitors to Crater Lake National Park.;Issued as VHS 1/2 in.",,"v",,,,"[videorecording] /","\"
"996836940102311","The Uncle Dave Macon program","Reproduction from U-matic.","DVD.","v",,,,"[videorecording] /","\"
"996856720102311","Parking lot landscape development",,,"g",,,,"[slide] :","\"
"996833550102311","Street trees","Sound accompaniment compatible for manual and automatic operation.",,"g",,,,"[slide] /","\"
"996474510102311","A guide to Beilstein's Handbuch der organischen Chemie /","Cover title of glossary.",,,,,,,"\"
"996718840102311","Merton","Title from data sheet.;Intended audience: Adults.",,"m",,,,"[motion picture] /","\"
"996888720102311","Buddhism in China.","Cassette copy.",,"m",,,,"[motion picture] /","\"
"996718860102311","The Power pinch","Title from data sheet.;Also includes 1 portfolio containing Employee guide, Manager's handbook, etc..",,"m",,,,"[motion picture] /","\"
"996882130102311","Libraries and librarians","Held Nov. 1, 1985 at the University of Tennessee, Knoxville and chaired by Angie LeClercq.;Pt. 3 has title: The high school-university transition : preparing students for the academic library.","U-matic.","v",,,,"[videorecording] :","\"
"996507820102311","Multiplication and division of fractions.","""The skills group."";Also issued with sound accompaniment on disc.",,"g",,,,"[slide] /","\"
"996507840102311","Introduction to fractions.","""The skills group."";Also issued with sound accompaniment on disc.",,"g",,,,"[slide] /","\"
"996804210102311","Street angel","VHS format.;Title from container ; title also in Chinese.;Videocassette release of the 1937 motion picture.",,"v",,,,"[videorecording] /","\"
"996813820102311","Der Rosenkavalier","VHS format;Sung in German.;Videorecording of a 1962 production.",,"v",,,,"[videorecording] /","\"
"996718880102311","Three approaches to psychotherapy","Supplements the book: Therapeutic psychology / by Lawrence M. Brammer and Everett L. Shostrom.",,"g",,,,"[motion picture] /","\"
"996486460102311","Detroit workers news special, 1932",,,"m",,,,"[motion picture] :","\"
"996502260102311","Structural geology in the Canadian Overthrust Belt","In two carousels.;""A continuing education course presented at the 1981 AAPG Fall Education Conference.""",,,,,,"[slide] /","\"
"996497810102311","Treatment of cardiac arrest in the dog",,"U-matic.","v",,,,"[videorecording] :","\"
"996641370102311","The Car of your dreams","Title from data sheet.;Intended audience: Ages 13 through adult.","U-matic.","v",,,,"[videorecording] /","\"
"996704400102311","Belorusskii︠ℓ︡vokzal","English title [tr. by cataloger]: Byelorussian [railway] station.;Issued also as a motion picture.",,"v",,,,"[videorecording] /","\"
"996500260102311","Macbeth /","Sponsored by Hallmark Cards; commercials by the sponsor inserted at the end of the program.;VHS format.",,"v",,,,"[videorecording]","\"
"996744220102311","Islands in the stream.","VHS format release of 1977 film.",,"v",,,,"[videorecording] /","\"
"996815190102311","Bizet's Carmen","In French with English subtitles.;The book of the opera by Meilhac and Halévy; based on a short story by Prosper Meŕimée.;VHS format.;""60487""",,"v",,,,"[videorecording] /","\"
"996474470102311","Musical holdouts.",,,"m",,,,"[motion picture] /","\"
"996611950102311","True glory","Videocassette copy. 2 cassettes.",,"m",,,,"[motion picture]","\"
"996832780102311","World War II propaganda films.","VHS format.;Originally released 1944-1945.;Title from notes ; title on container : Nostalgia World War II video library, #1.",,"v",,,,"[videorecording] / produced by the U.S. War Department.","\"
"996498300102311","That was rock","VHS format.;""M434"";Videocassette release of the 1964 and 1965 TAMI and TNT Shows by Electronovision Productions (1964), American International Productions (1965). Released in 1982 by UPA Productions of America.",,"v",,,,"[videorecording] :","\"
"996519810102311","Dolomitization","""A continuing education course presented at the 1982 AAPG Fall Education Conference.""-Container.",,"g",,,,"[slide] /","\"
"996619720102311","Where did you get that woman?","VHS format.",,"v",,,,"[videorecording] /","\"
"996601240102311","My mother, my father","Title from data sheet.;Intended audience: Adults.",,"m",,,,"[motion picture] /","\"
"996834110102311","Plucked instruments","VHS format.",,"v",,,,"[videorecording] /","\"
"996836290102311","Nonhuman primates","Includes bibliographical references.",,"g",,,,"[slide] :","\"
"996882960102311","CPR for citizens","Title from data sheet.;Intended audience: General.;Issued also in French, German, and Spanish.",,"m",,,,"[motion picture] :","\"
"996471180102311","Doctor Zhivago","VHS format.;MGM/UA Home Video: MV90003.;Vidorecording of the 1965 motion picture released by Metro-Goldwyn-Mayer.",,"v",,,,"[videorecording] /","\"
"996497820102311","Selected Techniques in canine thoracic surgery",,"U-matic.","v",,,,"[videorecording] /","\"
"996887370102311","The Great violin mystery","Title from data sheet.;Intended audience: General.;Issued as VHS 1/2 in.",,"v",,,,"[videorecording] /","\"
"996638140102311","States of mind","Recorded off-air with permission.",,"v",,,,"[videorecording] /","\"
"996769850102311","Rock'n soul live","VHS format.;""VH91065"";Videocassette release of the concert recorded live at the Montreal Forum, March 10-11, 1983, by M-1 Musical Enterprises, Inc.",,"v",,,,"[videorecording] /","\"
"996834130102311","The Drumset, a musical approach","Title on accompanying brochure : The Drum set.;Intended audience: Ages 12 through adult.","VHS.","v",,,,"[videorecording] /","\"
"996681910102311","Pride and prejudice","VHS format.;""M500114"";Based on Jane Austen's novel.;Videocassette release of the 1940 motion picture by Loew's Incorporated. Renewed in 1967 by Metro-Goldwyn-Mayer Inc.",,"v",,,,"[videorecording] /","\"
"997332460102311","David Oistrakh","Filmed in 1982.;Overdubbed in English.;Presented by Dennis M. Hedlund.",,"v",,,,"[videorecording] :","\"
"997029710102311","The Mikado","VHS.;Based on the comic opera by Gilbert and Sullivan.;""A Stratford Festival of Canada production."";Telecast in 1982.",,"v",,,,"[videorecording] /","\"
"997028340102311","La Cenerentola","""Thorn EMI/HBO classic performance."";VHS format.;""TVE 3559."";Opera in two acts.;At head of title: Glyndebourne Festival Opera.;Produced by BBC Television by arrangement with Glyndebourne in association with RM Arts.;Stereo., hi-fi, Dolby processed.;Synopsis and texts in English in booklet laid in container.",,"v",,,,"[videorecording] =","\"
"997127100102311","Academic convocation dedicating the College of Veterinary Medicine, University of Tennessee, September 22, 1979",,"U-matic.","v",,,,"[videorecording]","\"
"997294880102311","The History of life on earth.","In 3 carousels.",,"g",,,,"[slide].","\"
"997332510102311","Evolution and human equality",,,"v",,,,"[videorecording] /","\"
"997026010102311","Itzhak Perlman","VHS format.;Title on container: Beethoven violin concerto.;Videocassette release of the 1980 concert by EMI Records Ltd.",,"v",,,,"[videorecording] :","\"
"997055110102311","The Orthopedic examination",,"U-matic.","v",,,,"[videorecording] /","\"
"997017170102311","Poppea",,,"v",,,,"[videorecording] /","\"
"997017540102311","Creating the illusion",,,"v",,,,"[videorecording] :","\"
"997044990102311","Swan lake","Kultur VHS V1104.",,"v",,,,"[videorecording] :","\"
"997240170102311","The Changing high school","VHS format.;Accompanied by Program director-group leader manual and Participant's workbook, by Frederick P. Venditti.;University Archives copy is a motion picture.",,"v",,,,"[videorecording]:","\"
"997375960102311","Black jazz and blues","VHS format.;Title from container.;On label: 328.",,"v",,,,"[videorecording] :","\"
"997017630102311","Madama Butterfly","VHS format.;Sung in Italian ; subtitles in English.;Synopsis in English (7 p. ; 17 cm.) laid in container.",,"v",,,,"[videorecording] :","\"
"997016950102311","Black Americans: a historical portfolio.","Issued in 5 sections (30 slides each).;Designed for use with the silhouettes in courage education program containing 36 tape cassettes.;Revised version of the 1970 slide set entitled Black studies resources.;With guide.;Based on the William Loren Katz collection of rare prints and photographs.",,"g",,,,"[slide]","\"
"997162060102311","Antony & Cleopatra","VHS format.;""B003."";Title on container: The Tragedy of Antony and Cleopatra.",,"v",,,,"[videorecording] /","\"
"997053910102311","El Cid","Videocassette of the 1961 motion picture released by Samuel Bronston Productions.;VHS format.",,"v",,,,"[videorecording] /","\"
"997263480102311","Japanese literature on film","VHS format;""Janus film presentation.""",,"v",,,,"[videorecording] :","\"
"997018340102311","Nazi new order","Video cassette copy.",,"m",,,,"[motion picture]","\"
"997055560102311","Variations on a theme by Mozart","SAA documentary.",,"v",,,,"[videorecording] /","\"
"997010420102311","Don't cry, it's only thunder","VHS format.;""VH91250"";Based on the book by Paul G. Hensler.;Videocassette release of the 1981 motion picture by Sanrio Company, Ltd.",,"v",,,,"[videorecording] /","\"
"997209520102311","Pioneers of modern painting.","Mounted as 1381 slides in 12 carousels.",,"g",,,,"[slide] /","\"
"997187610102311","The Red badge of courage","Released as motion picture, 1951, by Loewe's Incorporated. Copyright renewed 1979 by Metro-Goldwyn-Mayer Inc.;VHS format.;""M300408""",,"v",,,,"[videorecording] /","\"
"997143660102311","Managing stress.",,,"m",,,,"[motion picture] /","\"
"996909000102311","The Other American minorities","Mounted as 225 slides in 2 carousels.;With teacher's guide.;Tape copy.",,"g",,,,"[filmstrip]","\"
"997026370102311","They shall take up serpents","U standard.",,"v",,,,"[videorecording].","\"
"997017270102311","The Gondoliers","VHS format.;Brian Macdonald's Stratford Festival production of the Gilbert & Sullivan opera for CBC Television.",,"v",,,,"[videorecording] /","\"
"997317480102311","The barber of Seville","Sung in Italian with English subtitles.","VHS.","v",,,,"[videorecording] :","\"
"997010950102311","Voices & visions","VHS format.",,"v",,,,"[videorecording] /","\"
"997012680102311","Les Troyens","VHS format.;""12509."";Opera in 3 acts.;In Italian with English subtitles.;Dates vary: on title frame, c1984; on container, c1986.;Stereo hi-fi, Dolby processed.;Program notes by David Hamilton and synopsis in English inserted in container.",,"v",,,,"[videorecording] /","\"
"997353830102311","Memories of hell","VHS format.;""#V430.""",,"v",,,,"[videorecording] /","\"
"997015720102311","Don Carlo","""#8339257/1-2"";Libretto by François Joseph Méry and Camille du Locle after Friedrich von Schiller's Don Carlos; Italian translation, Achille de Lauzières and Angelo Zanardini.;Recorded at the Royal Opera House, Covent Garden on April 17, 1985.;Sung in Italian, English subtitles.",,"v",,,,"[videorecording] /","\"
"997371380102311","Fellini satyricon","VHS format.;""M301385"";Italian with English subtitles.;Videocassette release of the 1969 motion picture.;Based on the Satyricon of Petronius Arbiter.",,"v",,,,"[videorecording] /","\"
"997240190102311","The Gods of the Ainu",,,"m",,,,"[motion picture] /","\"
"996915850102311","China and the world","Title from data sheet.;U standard.",,"v",,,,"[videorecording] /","\"
"997026460102311","The Versailles peace :","U standard.",,"v",,,,"[videorecording].","\"
"997383310102311","Word into image.","Title from data sheet.;Subtitle: Writers on screenwriting.;Originally shown on public television.;Intended audience: Adults.;Issued as VHS 1/2 in.",,"v",,,,"[videorecording] /","\"
"997017870102311","The love of three oranges","Sung in French with English subtitles.;Libretto by the composer after Carlo Gozzi.;VHS format.",,"v",,,,"[videorecording] /","\"
"997012550102311","The Atmosphere in motion","Cataloged from accompanying information.",,"m",,,,"[motion picture] /","\"
"996889870102311","Messiah","VHS format.;""TVE 2792"";An oratorio in 3 parts.;A performance of George Frideric Handel's oratorio, ""Messiah"".;Videocassette release of the 1982 production by the British Broadcasting Corp., in association with National Video Corp., Ltd.;Recorded in Westminster Abbey.;A libretto is included.",,"v",,,,"[videorecording] /","\"
